Datetime,Close,High,Low,Open,Volume
2023-03-10 14:30:00+00:00,388.8599853515625,391.20001220703125,387.4800109863281,390.42999267578125,46764876
2023-03-10 15:30:00+00:00,392.3999938964844,392.5400085449219,388.44000244140625,388.8699951171875,22335995
2023-03-10 16:30:00+00:00,388.9700012207031,393.1600036621094,388.2699890136719,392.6099853515625,20531739
2023-03-10 17:30:00+00:00,385.95001220703125,390.25,385.5199890136719,388.9800109863281,15121731
2023-03-10 18:30:00+00:00,385.3599853515625,387.510009765625,384.32000732421875,385.95001220703125,21421972
2023-03-10 19:30:00+00:00,386.70001220703125,388.4200134277344,385.30999755859375,385.3599853515625,20002583
2023-03-10 20:30:00+00:00,385.9100036621094,386.8800048828125,384.6600036621094,386.69000244140625,20524649
2023-03-13 13:30:00+00:00,383.94000244140625,386.8299865722656,380.6499938964844,381.80999755859375,48778062
2023-03-13 14:30:00+00:00,389.6499938964844,389.8599853515625,383.8900146484375,383.9800109863281,24438916
2023-03-13 15:30:00+00:00,387.8900146484375,390.3900146484375,387.1400146484375,389.6499938964844,17290860
2023-03-13 16:30:00+00:00,386.4200134277344,388.7699890136719,385.3599853515625,387.8900146484375,13673788
2023-03-13 17:30:00+00:00,388.42999267578125,389.17999267578125,385.5199890136719,386.4100036621094,12253543
2023-03-13 18:30:00+00:00,385.9599914550781,389.4949951171875,385.510009765625,388.3999938964844,14196480
2023-03-13 19:30:00+00:00,385.30999755859375,387.7200012207031,385.0450134277344,385.9599914550781,16285336
2023-03-14 13:30:00+00:00,392.2300109863281,392.29998779296875,389.9013977050781,390.5,35065159
2023-03-14 14:30:00+00:00,393.05999755859375,393.45001220703125,391.8999938964844,392.2300109863281,14782348
2023-03-14 15:30:00+00:00,391.7301025390625,393.3999938964844,391.57000732421875,393.05999755859375,12008318
2023-03-14 16:30:00+00:00,389.8006896972656,392.510009765625,388.54998779296875,391.7349853515625,16557410
2023-03-14 17:30:00+00:00,389.42999267578125,390.52911376953125,387.7084045410156,389.8006896972656,12668159
2023-03-14 18:30:00+00:00,388.2149963378906,390.0,387.04998779296875,389.3999938964844,15244135
2023-03-14 19:30:00+00:00,391.70001220703125,392.17999267578125,387.92999267578125,388.2149963378906,27214551
2023-03-15 13:30:00+00:00,385.82000732421875,387.7200012207031,385.04998779296875,386.1600036621094,35369163
2023-03-15 14:30:00+00:00,386.25,387.3599853515625,384.31060791015625,385.70001220703125,18954140
2023-03-15 15:30:00+00:00,384.8999938964844,387.3699951171875,384.239990234375,386.260009765625,17507330
2023-03-15 16:30:00+00:00,386.3699951171875,386.5199890136719,383.7099914550781,384.8949890136719,16645716
2023-03-15 17:30:00+00:00,388.4200134277344,389.489990234375,385.0899963378906,386.3699951171875,18113845
2023-03-15 18:30:00+00:00,388.739990234375,389.3800048828125,387.25,388.44000244140625,25666808
2023-03-15 19:30:00+00:00,389.3500061035156,389.3599853515625,386.7699890136719,388.75,20807108
2023-03-16 13:30:00+00:00,387.8500061035156,388.9601135253906,386.2900085449219,386.82000732421875,21912993
2023-03-16 14:30:00+00:00,393.0249938964844,393.5,387.6000061035156,387.8399963378906,24532559
2023-03-16 15:30:00+00:00,393.7699890136719,394.45001220703125,392.3999938964844,393.0199890136719,16806038
2023-03-16 16:30:00+00:00,395.114990234375,396.1400146484375,392.989990234375,393.7099914550781,17978660
2023-03-16 17:30:00+00:00,394.70001220703125,395.32000732421875,394.0,395.1099853515625,11435028
2023-03-16 18:30:00+00:00,395.9800109863281,396.1300048828125,393.6199951171875,394.70001220703125,13434031
2023-03-16 19:30:00+00:00,396.0299987792969,396.4700012207031,395.32000732421875,395.9800109863281,20047358
2023-03-17 13:30:00+00:00,391.2200012207031,394.3999938964844,390.53399658203125,393.2200012207031,27237864
2023-03-17 14:30:00+00:00,389.54998779296875,391.44000244140625,389.010009765625,391.2300109863281,31532886
